BERKELEY COLLEGE
05/2014,60780.48879095999,60780.48879095999,60780.48879095999,60782.60869565217
04/2014,101316.88270316113,101316.88270316113,101316.88270316113,101314.57137567118
03/2014,127666.7169284246,127666.7169284246,127666.7169284246,127679.18088737201
02/2014,119075.34942264107,119075.34942264107,119075.34942264107,119085.14647935584
01/2014,123158.13434210954,123158.13434210954,123158.13434210954,123170.16317016318
12/2013,112434.91603015033,112434.91603015033,112434.91603015034,112459.43021997836
11/2013,100321.15464540749,100321.15464540749,100321.15464540747,100306.91460552446
10/2013,97592.34973113243,97592.34973113243,97592.34973113243,97600.27425437092
09/2013,101469.11359765707,101469.11359765707,101469.11359765705,101454.73215813795
08/2013,104217.89905114817,104217.89905114817,104217.89905114817,104206.0776816261
07/2013,105747.0050493383,105747.0050493383,105747.0050493383,105762.13454442237
06/2013,97152.15988716671,97152.15988716671,97152.15988716672,97161.29032258065
05/2013,62345.10501526208,62345.10501526208,62345.10501526209,62347.82608695653
04/2013,91762.48756947105,91762.48756947105,91762.48756947106,91760.78503980745
03/2013,81914.49681366907,81914.49681366907,81914.49681366906,81911.26279863481
02/2013,86763.96196879592,86763.96196879592,86763.96196879595,86756.89566558164
01/2013,91660.25342250452,91660.25342250452,91660.25342250451,91655.01165501167
12/2012,93705.82464848367,93705.82464848367,93705.82464848367,93689.14532996755
11/2012,100838.78036800543,100838.78036800543,100838.78036800542,100848.5286152735
10/2012,105666.74771891082,105666.74771891082,105666.7477189108,105673.63729859445
09/2012,106735.95747051427,106735.95747051427,106735.95747051426,106743.11141536884
08/2012,108358.59861883106,108358.59861883106,108358.59861883106,108371.90581605957
07/2012,94252.9949506617,94252.9949506617,94252.99495066168,94237.86545557763
06/2012,102847.84011283329,102847.84011283329,102847.84011283329,102838.70967741936
05/2012,76874.40619377792,76874.40619377792,76874.40619377792,76869.56521739131
04/2012,106920.62972736784,106920.62972736784,106920.62972736784,106924.64358452139
03/2012,90418.78625790631,90418.78625790631,90418.78625790631,90409.55631399316
02/2012,94160.688608563,94160.688608563,94160.68860856301,94157.95785506254
01/2012,85181.61223538594,85181.61223538594,85181.61223538592,85174.8251748252
12/2011,93859.25932136599,93859.25932136599,93859.259321366,93851.42445005408
11/2011,98840.06498658707,98840.06498658707,98840.06498658707,98844.55677920203
10/2011,96740.90254995675,96740.90254995675,96740.90254995674,96726.08844703462
09/2011,91794.92893182868,91794.92893182868,91794.92893182868,91802.15642649327
08/2011,87423.50233002077,87423.50233002077,87423.50233002077,87422.01650231436
newline
BRANFORD COLLEGE
05/2014,63305.850760587084,63305.850760587084,63305.8507605871,63301.937089035004
04/2014,97032.22132586723,97032.22132586723,97032.22132586723,97039.89703989704
03/2014,96493.8889562252,96493.8889562252,96493.88895622522,96476.16227420789
02/2014,98073.31676994983,98073.31676994983,98073.31676994983,98063.68330464717
01/2014,100246.70512331971,100246.70512331971,100246.70512331968,100237.60023760021
12/2013,99759.24459082003,99759.24459082003,99759.24459082003,99780.15075376884
11/2013,103421.14141688112,103421.14141688112,103421.1414168811,103423.53117057856
10/2013,97978.8161682205,97978.8161682205,97978.81616822052,97979.9406695861
09/2013,100166.73381473332,100166.73381473332,100166.73381473332,100168.06722689074
08/2013,106226.24927277904,106226.24927277904,106226.24927277902,106247.66878030584
07/2013,98633.32286327214,98633.32286327214,98633.32286327213,98640.8939897312
06/2013,102804.65634529674,102804.65634529674,102804.65634529674,102783.30019880716
05/2013,69418.85563982496,69418.85563982496,69418.85563982496,69415.31899768971
04/2013,101155.0325060504,101155.0325060504,101155.0325060504,101158.30115830114
03/2013,97081.57121470712,97081.57121470712,97081.57121470715,97098.01599052415
02/2013,100030.4613949415,100030.4613949415,100030.4613949415,100043.0292598967
01/2013,97959.34457248729,97959.34457248729,97959.34457248727,97965.54796554796
12/2012,100643.0566556885,100643.0566556885,100643.0566556885,100628.14070351758
11/2012,101124.94459623056,101124.94459623056,101124.94459623053,101136.19375093437
10/2012,100947.30295254734,100947.30295254734,100947.30295254735,100946.46136459951
09/2012,103528.68255493228,103528.68255493228,103528.68255493227,103529.41176470587
08/2012,104571.28003267852,104571.28003267852,104571.2800326785,104569.19060052218
07/2012,101366.67713672786,101366.67713672786,101366.67713672786,101359.10601026882
06/2012,97195.34365470326,97195.34365470326,97195.34365470326,97216.69980119284
05/2012,67275.29359958795,67275.29359958795,67275.29359958797,67282.74391327528
04/2012,101812.74616808238,101812.74616808238,101812.74616808238,101801.8018018018
03/2012,106424.53982906767,106424.53982906767,106424.53982906768,106425.82173526801
02/2012,101896.22183510866,101896.22183510866,101896.22183510865,101893.28743545609
01/2012,101793.950304193,101793.950304193,101793.95030419299,101796.85179685178
12/2011,99597.69875349148,99597.69875349148,99597.69875349148,99591.70854271356
11/2011,95453.91398688834,95453.91398688834,95453.9139868883,95440.27507848707
10/2011,101073.88087923215,101073.88087923215,101073.88087923217,101073.59796581438
09/2011,96304.5836303344,96304.5836303344,96304.58363033438,96302.52100840336
08/2011,89202.47069454244,89202.47069454244,89202.47069454243,89183.14061917194
newline
CALHOUN COLLEGE,JOHN
05/2014,88858.23577141532,88858.23577141532,88858.23577141532,88852.55648038049
04/2014,115989.25440338113,115989.25440338113,115989.25440338113,115991.49953513085
03/2014,125349.86438804881,125349.86438804881,125349.86438804881,125350.74315877203
02/2014,114572.54237656231,114572.54237656231,114572.54237656233,114578.11194653298
01/2014,123469.50274686576,123469.50274686576,123469.50274686578,123462.47629368736
12/2013,104623.63440913978,104623.63440913978,104623.63440913978,104632.15258855585
